Hotel_lat,Hotel_lng,Hotel_City,Businesses_100m,Businesses_1km,Businesses_5km,Total_Number_of_Reviews
52.3648077,4.8853962,Amsterdam,112,3300,9400,61
52.3600068,4.9051643,Amsterdam,10,1400,9200,151
52.3607413,4.8695315,Amsterdam,10,1200,9000,161
52.3594783,4.895853,Amsterdam,6,3000,9600,255
52.3617751,4.9118187,Amsterdam,8,594,8900,293
52.3654686,4.8798713,Amsterdam,21,2300,9200,314
52.3840358,4.9028572,Amsterdam,11,1200,9200,361
52.3504558,4.8770194,Amsterdam,14,1000,9100,372
52.3696719,4.8614475,Amsterdam,1,663,8700,404
52.364768,4.896945,Amsterdam,40,3500,9600,443
52.3763099,4.8862701,Amsterdam,19,3000,9400,491
52.3743712,4.8746196,Amsterdam,23,1400,9000,507
52.3678779,4.8948936,Amsterdam,42,3700,9600,551
52.3527675,4.88373,Amsterdam,19,1700,9300,561
52.365823,4.893243,Amsterdam,61,4000,9600,564
52.358631,4.8786236,Amsterdam,51,1800,9100,592
52.3657281,4.8972883,Amsterdam,65,3500,9600,627
52.373704,4.893591,Amsterdam,87,3400,9500,631
52.3702613,4.9032489,Amsterdam,10,1900,9300,720
52.3923684,4.9110442,Amsterdam,6,137,8700,734
52.3727871,4.8900059,Amsterdam,49,3500,9400,802
52.3653868,4.8931979,Amsterdam,50,3900,9600,803
52.3678368,4.8830788,Amsterdam,39,2900,9300,851
52.3560923,4.8858229,Amsterdam,1,2400,9400,854
52.370835,4.895403,Amsterdam,135,3300,9600,870
52.3611852,4.8936341,Amsterdam,7,3500,9600,890
52.3728353,4.883326,Amsterdam,48,2700,9300,909
52.3595919,4.8801587,Amsterdam,24,2000,9200,914
52.3758754,4.8859642,Amsterdam,8,2900,9400,948
52.3664077,4.8969091,Amsterdam,52,3500,9600,966
52.3617577,4.8780052,Amsterdam,14,1900,9100,974
52.3497431,4.8911908,Amsterdam,17,1500,9500,995
52.351381,4.872723,Amsterdam,4,877,9000,1064
52.3544507,4.8875036,Amsterdam,18,2200,9500,1068
52.3718665,4.8873794,Amsterdam,42,3400,9400,1075
52.3741426,4.8907741,Amsterdam,65,3500,9400,1189
52.3599196,4.8810128,Amsterdam,27,2100,9200,1207
52.3266672,4.8800884,Amsterdam,2,180,9100,1245
52.3681919,4.8957609,Amsterdam,18,3600,9600,1251
52.36513,4.8729422,Amsterdam,20,1300,9000,1270
52.350396,4.8756404,Amsterdam,1,956,9100,1284
52.3357326,4.8743947,Amsterdam,7,316,9100,1349
52.3312406,4.8774466,Amsterdam,23,198,9100,1369
52.3605759,4.9159683,Amsterdam,6,429,8600,1403
52.3677568,4.8682174,Amsterdam,43,1000,9000,1420
52.3351951,4.8885354,Amsterdam,5,249,9400,1485
52.3744149,4.9041443,Amsterdam,5,1600,9200,1530
52.362514,4.8800077,Amsterdam,12,2200,9200,1556
52.3630682,4.8794451,Amsterdam,17,2100,9100,1574
52.4001813,4.8936653,Amsterdam,5,91,9300,1593
52.369391,4.8871721,Amsterdam,43,3600,9400,1611
52.364962,4.873495,Amsterdam,24,1400,9100,1615
52.3711037,4.8936787,Amsterdam,59,3500,9500,1650
52.3657092,4.8966912,Amsterdam,59,3600,9600,1667
52.3451511,4.9252372,Amsterdam,2,328,7500,1708
52.377955,4.894641,Amsterdam,65,3000,9500,1710
52.3924898,4.8683822,Amsterdam,3,163,8800,1712
52.3714428,4.9346331,Amsterdam,1,418,5500,1769
52.3781016,4.9142508,Amsterdam,8,295,8600,1925
52.3591467,4.9263601,Amsterdam,23,498,7300,1939
52.3375677,4.8178172,Amsterdam,2,21,1400,1945
52.3625662,4.8779225,Amsterdam,19,1900,9100,1952
52.364971,4.8839827,Amsterdam,108,3000,9400,1971
52.3613814,4.8832594,Amsterdam,34,2700,9300,2027
52.3583821,4.8988777,Amsterdam,27,2500,9500,2085
52.3417894,4.824952,Amsterdam,2,44,1800,2167
52.3542655,4.8664365,Amsterdam,4,823,8800,2176
52.3511447,4.8740764,Amsterdam,2,890,9100,2270
52.3487635,4.8938829,Amsterdam,10,1400,9600,2295
52.3154533,4.9962997,Amsterdam,1,9,408,2362
52.333803,4.8884708,Amsterdam,3,222,9400,2501
52.3754926,4.8929878,Amsterdam,68,3400,9500,2574
52.3588806,4.9886041,Amsterdam,5,45,480,2586
52.3663466,4.8985764,Amsterdam,26,3300,9500,2591
52.3735266,4.8933041,Amsterdam,83,3400,9500,2756
52.3764175,4.9002201,Amsterdam,81,2200,9400,2865
52.3486098,4.8844292,Amsterdam,3,1200,9400,2968
52.377743,4.897057,Amsterdam,68,2600,9500,3158
52.3786823,4.8207833,Amsterdam,6,37,1600,3161
52.3760456,4.8943917,Amsterdam,77,3200,9500,3342
52.3697554,4.8887815,Amsterdam,85,3700,9500,3417
52.335182,4.9138688,Amsterdam,1,174,8700,3568
52.3872884,4.8349748,Amsterdam,3,68,3000,3643
52.2924567,4.9444338,Amsterdam,1,39,1800,3773
52.3793659,4.8457179,Amsterdam,9,185,5300,3869
52.376752,4.904618,Amsterdam,8,1400,9200,3911
52.363889,4.881302,Amsterdam,30,2400,9200,4032
52.3846059,4.8941866,Amsterdam,7,2000,9400,4097
52.3663727,4.8930505,Amsterdam,63,4000,9500,4231
52.3466449,4.8310984,Amsterdam,5,56,2500,4410
52.3419432,4.8759604,Amsterdam,5,472,9100,4530
52.3702469,4.8966743,Amsterdam,29,3300,9600,4593
52.3727067,4.8943658,Amsterdam,87,3300,9500,4686
52.3705447,4.8886439,Amsterdam,71,3600,9500,4687
52.377278,4.897818,Amsterdam,31,2500,9500,4820
52.3856494,4.834443,Amsterdam,1,71,2900,5018
52.357655,4.844576,Amsterdam,4,241,5000,5236
52.3681299,4.8440847,Amsterdam,4,170,4900,5770
52.385601,4.8470597,Amsterdam,5,150,5800,7586
52.3546649,4.9131641,Amsterdam,6,528,8800,7656
52.3511137,4.8411629,Amsterdam,1,125,4200,8177
52.3096835,4.9422614,Amsterdam Zuidoost,2,132,3000,1992
52.3101182,4.9472918,Amsterdam Zuidoost,2,155,2000,2179
52.3047669,4.9476868,Amsterdam Zuidoost,1,157,2000,3383
52.314371,4.9388064,Amsterdam Zuidoost,4,109,4000,7108
41.3919114,2.1765438,Barcelona,20,3600,13700,67
41.3948175,2.1434702,Barcelona,32,1600,13100,69
41.406146,2.2008636,Barcelona,7,491,10500,94
NA,NA,Barcelona,NULL,NULL,NULL,104
41.4106944,2.136294,Barcelona,7,290,12100,111
41.3835584,2.178311,Barcelona,95,3200,13600,139
41.3915897,2.1720108,Barcelona,26,4100,13900,156
NA,NA,Barcelona,NULL,NULL,NULL,156
41.3832498,2.1753483,Barcelona,74,3800,13700,177
41.4061636,2.2008956,Barcelona,7,491,10500,217
41.380939,2.1796095,Barcelona,130,2900,13500,217
41.3799929,2.1748256,Barcelona,110,3700,13700,252
41.4002812,2.1297427,Barcelona,3,477,10300,261
41.39367,2.1115418,Barcelona,0,61,4600,274
41.388682,2.1316368,Barcelona,12,692,10900,281
41.391393,2.1668467,Barcelona,31,4300,14000,283
41.3858891,2.1681652,Barcelona,71,4200,14000,285
41.3822909,2.1807447,Barcelona,63,2900,13400,287
41.3815028,2.1449138,Barcelona,6,1500,13300,292
41.3846844,2.1791065,Barcelona,91,3200,13600,301
41.3919083,2.1573318,Barcelona,65,3600,13900,310
41.3961448,2.1631674,Barcelona,28,3600,14100,332
41.4006708,2.2087844,Barcelona,1,387,8000,334
41.3918805,2.1660363,Barcelona,41,4200,14000,335
41.3882234,2.1644551,Barcelona,22,4100,14000,338
41.3957584,2.1822402,Barcelona,12,1800,13300,343
41.3931918,2.16152,Barcelona,52,3900,14100,351
41.4101934,2.1695574,Barcelona,4,980,13900,353
41.3922919,2.1622256,Barcelona,53,4000,14100,354
41.3827,2.1791999,Barcelona,69,3000,13500,362
41.3893478,2.1209755,Barcelona,7,310,7500,375
41.3941625,2.1597836,Barcelona,57,3800,14000,375
41.3827894,2.1715636,Barcelona,96,4100,13800,390
41.3999934,2.1452467,Barcelona,19,1400,13400,434
41.3899609,2.135684,Barcelona,47,873,12000,446
41.3830582,2.1778267,Barcelona,88,3300,13600,448
41.3837583,2.1846933,Barcelona,49,2000,13000,448
41.3837453,2.171014,Barcelona,81,4200,13800,451
41.3962106,2.1621171,Barcelona,37,3600,14100,454
41.3856173,2.1659487,Barcelona,73,4200,14000,460
41.3890578,2.1565948,Barcelona,39,3300,13900,460
41.3985449,2.1438237,Barcelona,36,1400,13200,461
41.3900104,2.1422396,Barcelona,15,1400,13000,470
41.3725246,2.1540788,Barcelona,4,1100,13600,494
41.4084334,2.2178205,Barcelona,5,165,5300,503
41.3807517,2.1772425,Barcelona,102,3400,13600,520
41.3781685,2.1786627,Barcelona,32,2900,13500,523
41.3933943,2.1461315,Barcelona,20,1900,13400,546
41.3908486,2.1680745,Barcelona,39,4200,14000,549
41.3759896,2.167148,Barcelona,28,3000,13800,549
41.391843,2.156844,Barcelona,51,3600,13900,573
41.3775577,2.1384686,Barcelona,21,876,12600,575
41.391058,2.141706,Barcelona,15,1400,13000,577
41.3844072,2.1514584,Barcelona,11,2400,13600,591
41.3945074,2.1632659,Barcelona,35,3900,14100,593
41.3910786,2.1717285,Barcelona,24,4200,13900,596
41.3801815,2.180688,Barcelona,92,2800,13300,604
41.3962468,2.1609551,Barcelona,38,3600,14100,631
41.3982129,2.1494179,Barcelona,17,2400,13600,635
41.3842608,2.1609471,Barcelona,30,3700,14000,641
41.4047934,2.1288527,Barcelona,3,326,9900,642
41.3949199,2.1468594,Barcelona,31,2000,13500,645
41.4126508,2.2090895,Barcelona,1,300,7900,660
41.3920254,2.1554675,Barcelona,49,3400,13900,690
41.378751,2.17873,Barcelona,38,2900,13500,701
41.3930406,2.1545393,Barcelona,49,3300,13800,711
41.3944029,2.150194,Barcelona,36,2800,13600,724
41.3810311,2.1455516,Barcelona,7,1500,13400,732
41.3832414,2.1685298,Barcelona,71,4100,13900,732
41.4037972,2.213767,Barcelona,4,221,6500,747
41.3859873,2.1514021,Barcelona,25,2500,13600,758
41.3861153,2.1611899,Barcelona,50,3800,14100,771
41.3959587,2.2008981,Barcelona,2,563,10400,771
41.3880549,2.1599602,Barcelona,41,3700,14000,778
41.3904305,2.1262314,Barcelona,5,462,9100,779
41.391362,2.1700953,Barcelona,31,4100,13900,802
41.375237,2.1684058,Barcelona,42,2900,13800,807
41.3897735,2.1419762,Barcelona,11,1400,13000,808
41.4031654,2.1231637,Barcelona,1,202,8100,847
41.3941338,2.1489569,Barcelona,41,2500,13600,847
41.3939082,2.1622556,Barcelona,33,3900,14100,849
41.4014399,2.2100745,Barcelona,7,352,7600,855
41.3936071,2.1504611,Barcelona,39,2800,13600,867
41.408641,2.1478143,Barcelona,7,944,13500,867
41.39038,2.121,Barcelona,4,303,7600,868
41.3802469,2.1541149,Barcelona,30,2200,13800,869
41.3895237,2.1490307,Barcelona,20,2300,13600,873
NA,NA,Barcelona,NULL,NULL,NULL,883
41.3747031,2.1707106,Barcelona,18,3000,13600,883
41.3798658,2.1805271,Barcelona,77,2800,13300,904
41.376801,2.1460443,Barcelona,12,1100,13300,904
41.3895263,2.1747136,Barcelona,33,4100,13800,913
41.4052324,2.2117289,Barcelona,2,311,7100,926
41.3944848,2.1651078,Barcelona,51,3900,14100,931
41.3910621,2.1593373,Barcelona,37,3800,14000,931
41.3980162,2.1581229,Barcelona,25,3300,14000,935
41.4253332,2.1211028,Barcelona,2,12,7400,943
41.3810421,2.1814294,Barcelona,46,2700,13300,946
41.3949242,2.1593099,Barcelona,32,3600,14000,953
41.3854716,2.1018835,Barcelona,4,28,2600,959
41.3825777,2.1400103,Barcelona,8,1200,12800,964
41.3703041,2.17141,Barcelona,2,1700,13500,977
41.3944574,2.1564353,Barcelona,37,3500,13900,978
41.3849695,2.1776631,Barcelona,52,3400,13600,988
41.3930168,2.1646148,Barcelona,51,4100,14100,1010
41.4034965,2.1370426,Barcelona,10,574,12300,1013
41.3961294,2.1551626,Barcelona,29,3300,13800,1023
41.3747873,2.1611846,Barcelona,26,2200,13900,1034
41.3835246,2.1096141,Barcelona,8,88,4100,1068
41.3894654,2.1662651,Barcelona,35,4300,14000,1072
41.3862689,2.1291786,Barcelona,10,697,10100,1098
41.3861283,2.1745291,Barcelona,83,4100,13800,1108
41.384591,2.1378107,Barcelona,18,1100,12500,1122
41.3766732,2.1524478,Barcelona,17,1500,13600,1127
41.3894195,2.1564886,Barcelona,48,3300,13900,1130
41.3986093,2.1625037,Barcelona,21,3200,14100,1135
41.3909816,2.1714938,Barcelona,27,4200,13900,1148
41.3812574,2.1269078,Barcelona,11,488,9300,1257
41.3780229,2.1730782,Barcelona,47,3500,13700,1257
41.3962658,2.1662153,Barcelona,43,3400,14000,1257
41.3815625,2.1838458,Barcelona,24,2200,13000,1261
41.3916258,2.1716378,Barcelona,22,4100,13900,1266
41.3929366,2.1653954,Barcelona,53,4100,14000,1286
41.3849613,2.1756666,Barcelona,44,3900,13700,1300
41.3935497,2.1627098,Barcelona,41,4000,14100,1319
41.3870479,2.174336,Barcelona,72,4200,13800,1346
41.3865424,2.1969665,Barcelona,28,484,11300,1350
41.3927101,2.1722139,Barcelona,25,3800,13900,1354
41.4006653,2.1787089,Barcelona,8,1400,13600,1382
41.388024,2.1731556,Barcelona,45,4200,13800,1398
41.3869565,2.1665338,Barcelona,55,4300,14000,1403
41.3935967,2.1742718,Barcelona,18,3400,13800,1416
41.3860183,2.19473,Barcelona,2,551,11700,1424
41.3834673,2.1712016,Barcelona,72,4100,13800,1436
41.3917169,2.1592614,Barcelona,38,3800,14000,1472
41.3860521,2.176157,Barcelona,44,3900,13700,1484
41.3727844,2.1721134,Barcelona,5,2500,13600,1494
41.3907821,2.1717426,Barcelona,25,4200,13900,1498
41.3866227,2.1840722,Barcelona,28,2200,13100,1517
41.3885274,2.1360471,Barcelona,22,926,12100,1542
41.4101306,2.2188047,Barcelona,6,153,4900,1560
41.385817,2.1256789,Barcelona,5,472,9000,1562
41.393227,2.1927427,Barcelona,7,648,12100,1579
41.3991773,2.1656134,Barcelona,29,2900,14100,1589
41.3888014,2.1653738,Barcelona,49,4200,14000,1594
41.3907208,2.1660732,Barcelona,49,4300,14000,1601
41.392344,2.1729157,Barcelona,23,3800,13900,1664
41.3795572,2.1425457,Barcelona,14,1200,13000,1671
41.4038774,2.1911894,Barcelona,12,567,12300,1679
41.392018,2.157066,Barcelona,64,3600,13900,1693
41.3831641,2.1604736,Barcelona,24,3500,14000,1696
41.3885658,2.1712991,Barcelona,41,4200,13800,1711
41.4036219,2.1902808,Barcelona,7,604,12500,1725
41.386136,2.1682914,Barcelona,56,4200,14000,1746
41.3935179,2.1639813,Barcelona,46,4000,14100,1769
41.3875467,2.1673975,Barcelona,64,4300,14000,1834
41.392095,2.158493,Barcelona,50,3700,14000,1835
41.3892128,2.1726015,Barcelona,61,4200,13800,1875
41.3780983,2.1762005,Barcelona,26,3300,13600,1878
41.3799209,2.1728181,Barcelona,51,3800,13800,1908
41.3846637,2.1740902,Barcelona,130,4100,13800,1914
41.3938632,2.1568039,Barcelona,41,3600,13900,1918
41.390913,2.1706981,Barcelona,28,4100,13900,1933
41.3858891,2.1681652,Barcelona,71,4200,14000,1948
41.3830117,2.1700699,Barcelona,76,4100,13900,1949
41.3843222,2.1712893,Barcelona,74,4200,13800,1957
41.4337561,2.147327,Barcelona,2,40,13000,1991
41.3833541,2.1794038,Barcelona,72,3000,13500,2045
41.3896916,2.1798661,Barcelona,43,3100,13500,2094
41.3901396,2.1696699,Barcelona,27,4200,13900,2116
41.4017465,2.1477365,Barcelona,20,1700,13500,2220
41.3853781,2.1567228,Barcelona,29,3200,13900,2251
41.3790126,2.1696339,Barcelona,49,3600,13800,2254
41.37913,2.1561186,Barcelona,27,2200,13800,2336
41.4047382,2.1727127,Barcelona,30,1400,13900,2359
41.3905166,2.1725643,Barcelona,37,4200,13800,2369
41.393599,2.1684151,Barcelona,32,3700,14000,2372
41.4226648,2.1464261,Barcelona,0,97,13300,2383
41.383515,2.1407396,Barcelona,9,1300,12900,2436
41.4023621,2.2119049,Barcelona,3,299,7100,2500
41.4082054,2.2124626,Barcelona,2,287,6900,2573
41.3873478,2.1603987,Barcelona,57,3700,14000,2694
41.384829,2.1751277,Barcelona,52,4000,13800,2695
41.368437,2.1901534,Barcelona,7,261,12000,2708
41.3861459,2.1711594,Barcelona,42,4300,13900,2757
41.3858891,2.1681652,Barcelona,71,4200,14000,2775
41.38793,2.1568061,Barcelona,50,3300,13900,2836
41.4114188,2.211756,Barcelona,4,284,7100,2848
41.3976233,2.188975,Barcelona,5,791,12700,2988
41.3897945,2.1660575,Barcelona,49,4200,14000,3046
41.3777977,2.1135971,Barcelona,1,200,5400,3097
41.3969273,2.192267,Barcelona,14,650,12200,3130
41.3891168,2.1671986,Barcelona,41,4300,14000,3222
41.3842838,2.1707092,Barcelona,99,4200,13800,3340
41.3961021,2.1794688,Barcelona,14,2100,13600,3442
41.3971434,2.1921947,Barcelona,13,647,12200,3565
41.4072812,2.1443116,Barcelona,5,749,13200,3590
41.3812223,2.1739622,Barcelona,115,3800,13800,3602
41.3935591,2.1993915,Barcelona,4,579,10900,3633
41.3946775,2.162638,Barcelona,42,3800,14100,3823
41.3841429,2.1616896,Barcelona,35,3700,14000,3870
41.3989322,2.2024183,Barcelona,22,517,10000,3944
41.3865289,2.1682919,Barcelona,60,4300,14000,4153
41.3856387,2.1668274,Barcelona,75,4300,14000,4276
41.4109715,2.2186535,Barcelona,10,153,5000,4293
41.3798964,2.1412433,Barcelona,15,1200,12900,4379
41.3750293,2.1491172,Barcelona,35,1100,13400,4527
41.371308,2.181698,Barcelona,2,1400,13000,4559
41.4111652,2.2192012,Barcelona,7,147,4700,4645
41.3792053,2.1427989,Barcelona,14,1200,13000,4646
41.3732462,2.1474351,Barcelona,9,877,13300,4887
41.4110056,2.1866009,Barcelona,6,625,12900,6792
48.8448902,2.252833,Boulogne Billancourt,4,309,7000,659
48.231915,16.417026,Donauinsel,3,186,4300,1257
48.2273013,16.4001791,Donauinsel,5,245,7400,1287
48.231911,16.4129493,Donauinsel,8,198,5100,3557
41.3283758,2.1129638,El Prat de Llobregat,0,10,2500,2521
51.5298597,-0.1444623,Fitzrovia,2,2000,19900,1871
51.5291423,-0.1372782,Fitzrovia,3,2200,20300,2474
51.5244224,-0.0764614,London,43,2200,13100,45
51.5109079,-0.1238221,London,121,3800,21200,49
51.5237209,-0.0806178,London,49,2400,14300,59
51.50303,-0.15242,London,13,1700,19800,64
51.5063709,-0.1515359,London,9,2000,19800,68
51.4960283,-0.1686355,London,13,853,18000,70
51.4988977,-0.1562015,London,14,847,19600,76
51.5231564,-0.1035134,London,36,1800,21300,81
51.5090985,-0.0157302,London,0,433,4300,82
51.5090558,-0.1421661,London,72,4000,20100,127
51.5196124,-0.1239628,London,33,3900,21200,128
51.5032524,-0.078179,London,5,1300,13300,136
51.5101556,-0.1496314,London,19,2400,19900,147
51.4998574,-0.161717,London,29,859,19200,154
51.5145986,-0.1270336,London,117,4700,20800,158
51.5015721,-0.1628511,London,24,948,19100,169
51.514839,-0.1586656,London,31,1300,19100,180
51.502485,-0.1539265,London,4,1500,19700,185
51.4892447,-0.1803196,London,2,771,14900,190
51.4968406,-0.1675498,London,14,838,18300,199
51.4975621,-0.145551,London,26,1500,20200,200
51.5079153,-0.2730145,London,4,153,3200,200
51.5020425,-0.1866541,London,4,1200,12200,209
51.5055381,-0.1396885,London,22,4300,20200,210
51.5131428,-0.1576714,London,24,1500,19300,213
51.583236,-0.216868,London,1,117,4100,215
51.5022081,-0.1599428,London,29,1100,19200,217
51.4990953,-0.1132136,London,30,1200,22000,218
51.4903724,-0.1459218,London,6,737,20000,221
51.4944875,-0.2070605,London,1,433,8700,226
51.5020912,-0.1577795,London,10,1200,19300,232
51.512257,-0.2034244,London,17,934,9000,240
51.4981471,-0.1436492,London,39,1800,20200,244
51.4930097,-0.159715,London,19,748,19200,245
51.5084595,-0.1311382,London,44,5000,20600,255
51.5215508,-0.0469238,London,18,288,8900,259
51.5117832,-0.1194172,London,254,3200,21700,259
51.5226361,-0.1602871,London,16,1000,19000,263
51.5220869,-0.1082443,London,25,1800,21800,264
51.4973568,-0.1576728,London,5,786,19300,265
51.5117907,-0.306071,London,46,365,2900,269
51.4930905,-0.1755022,London,54,798,16100,270
51.5458476,-0.0554113,London,37,530,9300,272
51.4611219,-0.2756216,London,1,52,3400,272
51.5460628,-0.0700817,London,8,593,11400,276
51.5191009,-0.1592,London,17,1200,19100,287
51.5017224,-0.1846243,London,6,1100,13000,290
51.5125035,-0.1477438,London,53,2500,19900,293
51.5215257,-0.1533039,London,18,1500,19600,301
51.509841,-0.1552193,London,9,1700,19600,303
51.5066991,-0.0280208,London,10,295,5300,310
51.498861,-0.1374897,London,17,3000,20400,310
51.5052188,-0.088166,London,39,1700,16600,311
51.511174,-0.1349904,London,106,5000,20500,314
51.4917798,-0.1616049,London,24,773,19300,317
51.5184158,-0.1348509,London,101,4800,20500,319
51.5011704,-0.0232607,London,7,445,4700,320
51.5101401,-0.1968951,London,58,1100,9800,322
51.5182768,-0.1583511,London,9,1200,19100,334
51.513055,-0.152257,London,26,1900,19800,334
51.5199224,-0.2116636,London,1,623,8100,344
51.4997486,-0.1615242,London,28,856,19200,355
51.504439,-0.149911,London,24,2200,19800,361
51.5061587,-0.1402803,London,32,4200,20200,363
51.504716,-0.1475618,London,17,2600,20000,364
51.4911924,-0.1449474,London,14,794,20000,369
51.5167472,-0.135965,London,63,4600,20400,372
51.5092876,-0.1370062,London,85,4500,20400,376
51.5139805,-0.1337948,London,102,5200,20500,385
51.4916378,-0.1832833,London,20,841,13800,388
51.5140208,-0.0854919,London,51,2500,15800,390
51.5243286,-0.1846623,London,15,768,12900,391
51.4936161,-0.1592347,London,14,758,19200,393
51.5196913,-0.1254243,London,20,4200,21100,393
51.522672,-0.1036841,London,26,1800,21300,394
51.4957436,-0.1477528,London,24,1100,20100,411
51.5050355,-0.1500864,London,23,2200,19800,416
51.5116049,-0.1383145,London,127,4400,20300,423
51.527262,-0.282992,London,0,61,3200,425
51.4944849,-0.1884174,London,10,909,11800,449
51.5143447,-0.1318157,London,144,5200,20600,465
51.5203469,-0.1260893,London,8,4300,21000,468
51.4980052,-0.1643238,London,51,780,18900,473
51.4242413,-0.2293503,London,2,59,4200,476
51.5273442,-0.0796152,London,48,2200,13900,477
51.4933372,-0.1788931,London,7,717,15200,478
51.5188,-0.153839,London,40,1600,19600,478
51.4928147,-0.1841753,London,4,849,13300,486
51.5122429,-0.1045036,London,26,1700,21100,488
51.5059087,-0.1403795,London,20,4200,20200,492
51.520171,-0.102463,London,37,1800,21100,501
51.5038632,-0.1504132,London,16,2000,19800,510
51.4978466,-0.164156,London,38,774,18900,510
51.5135929,-0.0907833,London,22,2100,17700,517
51.5045583,-0.1262584,London,5,3900,20900,520
51.5159214,-0.1598794,London,14,1200,19100,521
51.4572991,-0.2055425,London,2,210,8400,525
51.511579,-0.1500193,London,19,2200,19800,534
51.5074007,-0.1524593,London,15,2000,19800,545
51.4202661,-0.211268,London,2,261,4200,561
51.5082019,-0.1545589,London,6,1800,19700,564
51.5016102,-0.1191545,London,16,2500,21700,573
51.522143,-0.153385,London,7,1500,19600,580
51.4910062,-0.1717691,London,10,825,17200,585
51.603207,0.010607,London,0,15,2200,587
51.4993652,-0.1576613,London,18,868,19400,587
51.5021027,-0.187901,London,23,1200,11900,597
51.5205441,-0.1308091,London,31,5100,20700,612
51.520378,-0.1303414,London,26,5100,20700,615
51.4940285,-0.1910497,London,20,942,11100,617
51.5112451,-0.1808938,London,6,894,14200,617
51.5095259,-0.1967234,London,60,1100,9800,623
51.4945522,-0.1861213,London,16,867,12500,629
51.4973203,-0.1562558,London,11,776,19500,635
51.5208575,-0.0779503,London,25,2300,13400,644
51.51046,-0.1875844,London,49,983,11900,646
